"","ref_date","financial_market_statistics","value"
"4012",2015-06-27,"Target rate",0
"4013",2015-06-28,"Real return benchmark bond yield, long term",0
"4014",2015-06-28,"Target rate",0
"4015",2015-06-29,"Real return benchmark bond yield, long term",0.5898
"4016",2015-06-29,"Target rate",0.75
"4017",2015-06-30,"Real return benchmark bond yield, long term",0.5453
"4018",2015-06-30,"Target rate",0.75
"4019",2015-07-01,"Real return benchmark bond yield, long term",NA
"4020",2015-07-01,"Target rate",0.75
"4021",2015-07-02,"Real return benchmark bond yield, long term",0.6075
"4022",2015-07-02,"Target rate",0.75
"4023",2015-07-03,"Real return benchmark bond yield, long term",0.5833
"4024",2015-07-03,"Target rate",0.75
"4025",2015-07-04,"Real return benchmark bond yield, long term",0
"4026",2015-07-04,"Target rate",0
"4027",2015-07-05,"Real return benchmark bond yield, long term",0
"4028",2015-07-05,"Target rate",0
"4029",2015-07-06,"Real return benchmark bond yield, long term",0.5352
"4030",2015-07-06,"Target rate",0.75
"4031",2015-07-07,"Real return benchmark bond yield, long term",0.4998
"4032",2015-07-07,"Target rate",0.75
"4033",2015-07-08,"Real return benchmark bond yield, long term",0.4749
"4034",2015-07-08,"Target rate",0.75
"4035",2015-07-09,"Real return benchmark bond yield, long term",0.5433
"4036",2015-07-09,"Target rate",0.75
"4037",2015-07-10,"Real return benchmark bond yield, long term",0.6278
"4038",2015-07-10,"Target rate",0.75
"4039",2015-07-11,"Real return benchmark bond yield, long term",0
"4040",2015-07-11,"Target rate",0
"4041",2015-07-12,"Real return benchmark bond yield, long term",0
"4042",2015-07-12,"Target rate",0
"4043",2015-07-13,"Real return benchmark bond yield, long term",0.6308
"4044",2015-07-13,"Target rate",0.75
"4045",2015-07-14,"Real return benchmark bond yield, long term",0.6219
"4046",2015-07-14,"Target rate",0.75
"4047",2015-07-15,"Real return benchmark bond yield, long term",0.5404
"4048",2015-07-15,"Target rate",0.5
"4049",2015-07-16,"Real return benchmark bond yield, long term",0.5306
"4050",2015-07-16,"Target rate",0.5
"4051",2015-07-17,"Real return benchmark bond yield, long term",0.5056
"4052",2015-07-17,"Target rate",0.5
"4053",2015-07-18,"Real return benchmark bond yield, long term",0
"4054",2015-07-18,"Target rate",0
"4055",2015-07-19,"Real return benchmark bond yield, long term",0
"4056",2015-07-19,"Target rate",0
"4057",2015-07-20,"Real return benchmark bond yield, long term",0.5265
"4058",2015-07-20,"Target rate",0.5
"4059",2015-07-21,"Real return benchmark bond yield, long term",0.522
"4060",2015-07-21,"Target rate",0.5
"4061",2015-07-22,"Real return benchmark bond yield, long term",0.4933
"4062",2015-07-22,"Target rate",0.5
"4063",2015-07-23,"Real return benchmark bond yield, long term",0.4501
"4064",2015-07-23,"Target rate",0.5
"4065",2015-07-24,"Real return benchmark bond yield, long term",0.4316
"4066",2015-07-24,"Target rate",0.5
"4067",2015-07-25,"Real return benchmark bond yield, long term",0
"4068",2015-07-25,"Target rate",0
"4069",2015-07-26,"Real return benchmark bond yield, long term",0
"4070",2015-07-26,"Target rate",0
"4071",2015-07-27,"Real return benchmark bond yield, long term",0.4151
"4072",2015-07-27,"Target rate",0.5
"4073",2015-07-28,"Real return benchmark bond yield, long term",0.4593
"4074",2015-07-28,"Target rate",0.5
"4075",2015-07-29,"Real return benchmark bond yield, long term",0.4835
"4076",2015-07-29,"Target rate",0.5
"4077",2015-07-30,"Real return benchmark bond yield, long term",0.4478
"4078",2015-07-30,"Target rate",0.5
"4079",2015-07-31,"Real return benchmark bond yield, long term",0.4398
"4080",2015-07-31,"Target rate",0.5
"4081",2015-08-01,"Real return benchmark bond yield, long term",0
"4082",2015-08-01,"Target rate",0
"4083",2015-08-02,"Real return benchmark bond yield, long term",0
"4084",2015-08-02,"Target rate",0
"4085",2015-08-03,"Real return benchmark bond yield, long term",NA
"4086",2015-08-03,"Target rate",0.5
"4087",2015-08-04,"Real return benchmark bond yield, long term",0.4419
"4088",2015-08-04,"Target rate",0.5
"4089",2015-08-05,"Real return benchmark bond yield, long term",0.4798
"4090",2015-08-05,"Target rate",0.5
"4091",2015-08-06,"Real return benchmark bond yield, long term",0.4953
"4092",2015-08-06,"Target rate",0.5
"4093",2015-08-07,"Real return benchmark bond yield, long term",0.4825
"4094",2015-08-07,"Target rate",0.5
"4095",2015-08-08,"Real return benchmark bond yield, long term",0
"4096",2015-08-08,"Target rate",0
"4097",2015-08-09,"Real return benchmark bond yield, long term",0
"4098",2015-08-09,"Target rate",0
"4099",2015-08-10,"Real return benchmark bond yield, long term",0.5186
"4100",2015-08-10,"Target rate",0.5
"4101",2015-08-11,"Real return benchmark bond yield, long term",0.4983
"4102",2015-08-11,"Target rate",0.5
"4103",2015-08-12,"Real return benchmark bond yield, long term",0.5039
"4104",2015-08-12,"Target rate",0.5
"4105",2015-08-13,"Real return benchmark bond yield, long term",0.5216
"4106",2015-08-13,"Target rate",0.5
"4107",2015-08-14,"Real return benchmark bond yield, long term",0.5016
"4108",2015-08-14,"Target rate",0.5
"4109",2015-08-15,"Real return benchmark bond yield, long term",0
"4110",2015-08-15,"Target rate",0
"4111",2015-08-16,"Real return benchmark bond yield, long term",0
"4112",2015-08-16,"Target rate",0
"4113",2015-08-17,"Real return benchmark bond yield, long term",0.4995
"4114",2015-08-17,"Target rate",0.5
"4115",2015-08-18,"Real return benchmark bond yield, long term",0.5213
"4116",2015-08-18,"Target rate",0.5
"4117",2015-08-19,"Real return benchmark bond yield, long term",0.5014
"4118",2015-08-19,"Target rate",0.5
"4119",2015-08-20,"Real return benchmark bond yield, long term",0.4847
"4120",2015-08-20,"Target rate",0.5
"4121",2015-08-21,"Real return benchmark bond yield, long term",0.5214
"4122",2015-08-21,"Target rate",0.5
"4123",2015-08-22,"Real return benchmark bond yield, long term",0
"4124",2015-08-22,"Target rate",0
"4125",2015-08-23,"Real return benchmark bond yield, long term",0
"4126",2015-08-23,"Target rate",0
"4127",2015-08-24,"Real return benchmark bond yield, long term",0.5507
"4128",2015-08-24,"Target rate",0.5
"4129",2015-08-25,"Real return benchmark bond yield, long term",0.5902
"4130",2015-08-25,"Target rate",0.5
"4131",2015-08-26,"Real return benchmark bond yield, long term",0.7788
"4132",2015-08-26,"Target rate",0.5
"4133",2015-08-27,"Real return benchmark bond yield, long term",0.7471
"4134",2015-08-27,"Target rate",0.5
"4135",2015-08-28,"Real return benchmark bond yield, long term",0.7058
"4136",2015-08-28,"Target rate",0.5
"4137",2015-08-29,"Real return benchmark bond yield, long term",0
"4138",2015-08-29,"Target rate",0
"4139",2015-08-30,"Real return benchmark bond yield, long term",0
"4140",2015-08-30,"Target rate",0
"4141",2015-08-31,"Real return benchmark bond yield, long term",0.7261
"4142",2015-08-31,"Target rate",0.5
"4143",2015-09-01,"Real return benchmark bond yield, long term",0.6929
"4144",2015-09-01,"Target rate",0.5
"4145",2015-09-02,"Real return benchmark bond yield, long term",0.6711
"4146",2015-09-02,"Target rate",0.5
"4147",2015-09-03,"Real return benchmark bond yield, long term",0.6768
"4148",2015-09-03,"Target rate",0.5
"4149",2015-09-04,"Real return benchmark bond yield, long term",0.655
"4150",2015-09-04,"Target rate",0.5
"4151",2015-09-05,"Real return benchmark bond yield, long term",0
"4152",2015-09-05,"Target rate",0
"4153",2015-09-06,"Real return benchmark bond yield, long term",0
"4154",2015-09-06,"Target rate",0
"4155",2015-09-07,"Real return benchmark bond yield, long term",NA
"4156",2015-09-07,"Target rate",0.5
"4157",2015-09-08,"Real return benchmark bond yield, long term",0.6917
"4158",2015-09-08,"Target rate",0.5
"4159",2015-09-09,"Real return benchmark bond yield, long term",0.6944
"4160",2015-09-09,"Target rate",0.5
"4161",2015-09-10,"Real return benchmark bond yield, long term",0.7009
"4162",2015-09-10,"Target rate",0.5
"4163",2015-09-11,"Real return benchmark bond yield, long term",0.6664
"4164",2015-09-11,"Target rate",0.5
"4165",2015-09-12,"Real return benchmark bond yield, long term",0
"4166",2015-09-12,"Target rate",0
"4167",2015-09-13,"Real return benchmark bond yield, long term",0
"4168",2015-09-13,"Target rate",0
"4169",2015-09-14,"Real return benchmark bond yield, long term",0.6409
"4170",2015-09-14,"Target rate",0.5
"4171",2015-09-15,"Real return benchmark bond yield, long term",0.7275
"4172",2015-09-15,"Target rate",0.5
"4173",2015-09-16,"Real return benchmark bond yield, long term",0.7129
"4174",2015-09-16,"Target rate",0.5
"4175",2015-09-17,"Real return benchmark bond yield, long term",0.6738
"4176",2015-09-17,"Target rate",0.5
"4177",2015-09-18,"Real return benchmark bond yield, long term",0.6007
"4178",2015-09-18,"Target rate",0.5
"4179",2015-09-19,"Real return benchmark bond yield, long term",0
"4180",2015-09-19,"Target rate",0
"4181",2015-09-20,"Real return benchmark bond yield, long term",0
"4182",2015-09-20,"Target rate",0
"4183",2015-09-21,"Real return benchmark bond yield, long term",0.6692
"4184",2015-09-21,"Target rate",0.5
"4185",2015-09-22,"Real return benchmark bond yield, long term",0.6231
"4186",2015-09-22,"Target rate",0.5
"4187",2015-09-23,"Real return benchmark bond yield, long term",0.6207
"4188",2015-09-23,"Target rate",0.5
"4189",2015-09-24,"Real return benchmark bond yield, long term",0.6113
"4190",2015-09-24,"Target rate",0.5
"4191",2015-09-25,"Real return benchmark bond yield, long term",0.701
"4192",2015-09-25,"Target rate",0.5
"4193",2015-09-26,"Real return benchmark bond yield, long term",0
"4194",2015-09-26,"Target rate",0
"4195",2015-09-27,"Real return benchmark bond yield, long term",0
"4196",2015-09-27,"Target rate",0
"4197",2015-09-28,"Real return benchmark bond yield, long term",0.6449
"4198",2015-09-28,"Target rate",0.5
"4199",2015-09-29,"Real return benchmark bond yield, long term",0.6436
"4200",2015-09-29,"Target rate",0.5
"4201",2015-09-30,"Real return benchmark bond yield, long term",0.6915
"4202",2015-09-30,"Target rate",0.5
"4203",2015-10-01,"Real return benchmark bond yield, long term",0.7055
"4204",2015-10-01,"Target rate",0.5
"4205",2015-10-02,"Real return benchmark bond yield, long term",0.6963
"4206",2015-10-02,"Target rate",0.5
"4207",2015-10-03,"Real return benchmark bond yield, long term",0
"4208",2015-10-03,"Target rate",0
"4209",2015-10-04,"Real return benchmark bond yield, long term",0
"4210",2015-10-04,"Target rate",0
"4211",2015-10-05,"Real return benchmark bond yield, long term",0.7282
"4212",2015-10-05,"Target rate",0.5
"4213",2015-10-06,"Real return benchmark bond yield, long term",0.7285
"4214",2015-10-06,"Target rate",0.5
"4215",2015-10-07,"Real return benchmark bond yield, long term",0.7577
"4216",2015-10-07,"Target rate",0.5
"4217",2015-10-08,"Real return benchmark bond yield, long term",0.8102
"4218",2015-10-08,"Target rate",0.5
"4219",2015-10-09,"Real return benchmark bond yield, long term",0.8211
"4220",2015-10-09,"Target rate",0.5
"4221",2015-10-10,"Real return benchmark bond yield, long term",0
"4222",2015-10-10,"Target rate",0
"4223",2015-10-11,"Real return benchmark bond yield, long term",0
"4224",2015-10-11,"Target rate",0
"4225",2015-10-12,"Real return benchmark bond yield, long term",NA
"4226",2015-10-12,"Target rate",0.5
"4227",2015-10-13,"Real return benchmark bond yield, long term",0.7797
"4228",2015-10-13,"Target rate",0.5
"4229",2015-10-14,"Real return benchmark bond yield, long term",0.7695
"4230",2015-10-14,"Target rate",0.5
"4231",2015-10-15,"Real return benchmark bond yield, long term",0.7858
"4232",2015-10-15,"Target rate",0.5
"4233",2015-10-16,"Real return benchmark bond yield, long term",0.7921
"4234",2015-10-16,"Target rate",0.5
"4235",2015-10-17,"Real return benchmark bond yield, long term",0
"4236",2015-10-17,"Target rate",0
"4237",2015-10-18,"Real return benchmark bond yield, long term",0
"4238",2015-10-18,"Target rate",0
"4239",2015-10-19,"Real return benchmark bond yield, long term",0.8034
"4240",2015-10-19,"Target rate",0.5
"4241",2015-10-20,"Real return benchmark bond yield, long term",0.8669
"4242",2015-10-20,"Target rate",0.5
"4243",2015-10-21,"Real return benchmark bond yield, long term",0.8066
"4244",2015-10-21,"Target rate",0.5
"4245",2015-10-22,"Real return benchmark bond yield, long term",0.7958
"4246",2015-10-22,"Target rate",0.5
"4247",2015-10-23,"Real return benchmark bond yield, long term",0.8306
"4248",2015-10-23,"Target rate",0.5
"4249",2015-10-24,"Real return benchmark bond yield, long term",0
"4250",2015-10-24,"Target rate",0
"4251",2015-10-25,"Real return benchmark bond yield, long term",0
"4252",2015-10-25,"Target rate",0
"4253",2015-10-26,"Real return benchmark bond yield, long term",0.7739
"4254",2015-10-26,"Target rate",0.5
"4255",2015-10-27,"Real return benchmark bond yield, long term",0.7724
"4256",2015-10-27,"Target rate",0.5
"4257",2015-10-28,"Real return benchmark bond yield, long term",0.8003
"4258",2015-10-28,"Target rate",0.5
"4259",2015-10-29,"Real return benchmark bond yield, long term",0.8304
"4260",2015-10-29,"Target rate",0.5
"4261",2015-10-30,"Real return benchmark bond yield, long term",0.8227
"4262",2015-10-30,"Target rate",0.5
"4263",2015-10-31,"Real return benchmark bond yield, long term",0
"4264",2015-10-31,"Target rate",0
"4265",2015-11-01,"Real return benchmark bond yield, long term",0
"4266",2015-11-01,"Target rate",0
"4267",2015-11-02,"Real return benchmark bond yield, long term",0.8462
"4268",2015-11-02,"Target rate",0.5
"4269",2015-11-03,"Real return benchmark bond yield, long term",0.8708
"4270",2015-11-03,"Target rate",0.5
"4271",2015-11-04,"Real return benchmark bond yield, long term",0.8765
"4272",2015-11-04,"Target rate",0.5
"4273",2015-11-05,"Real return benchmark bond yield, long term",0.8922
"4274",2015-11-05,"Target rate",0.5
"4275",2015-11-06,"Real return benchmark bond yield, long term",0.9043
"4276",2015-11-06,"Target rate",0.5
"4277",2015-11-07,"Real return benchmark bond yield, long term",0
"4278",2015-11-07,"Target rate",0
"4279",2015-11-08,"Real return benchmark bond yield, long term",0
"4280",2015-11-08,"Target rate",0
"4281",2015-11-09,"Real return benchmark bond yield, long term",0.9016
"4282",2015-11-09,"Target rate",0.5
"4283",2015-11-10,"Real return benchmark bond yield, long term",0.8816
"4284",2015-11-10,"Target rate",0.5
"4285",2015-11-11,"Real return benchmark bond yield, long term",NA
"4286",2015-11-11,"Target rate",0.5
"4287",2015-11-12,"Real return benchmark bond yield, long term",0.8689
"4288",2015-11-12,"Target rate",0.5
"4289",2015-11-13,"Real return benchmark bond yield, long term",0.8186
"4290",2015-11-13,"Target rate",0.5
"4291",2015-11-14,"Real return benchmark bond yield, long term",0
"4292",2015-11-14,"Target rate",0
"4293",2015-11-15,"Real return benchmark bond yield, long term",0
"4294",2015-11-15,"Target rate",0
"4295",2015-11-16,"Real return benchmark bond yield, long term",0.8188
"4296",2015-11-16,"Target rate",0.5
"4297",2015-11-17,"Real return benchmark bond yield, long term",0.815
"4298",2015-11-17,"Target rate",0.5
"4299",2015-11-18,"Real return benchmark bond yield, long term",0.8157
"4300",2015-11-18,"Target rate",0.5
"4301",2015-11-19,"Real return benchmark bond yield, long term",0.7818
"4302",2015-11-19,"Target rate",0.5
"4303",2015-11-20,"Real return benchmark bond yield, long term",0.7843
"4304",2015-11-20,"Target rate",0.5
"4305",2015-11-21,"Real return benchmark bond yield, long term",0
"4306",2015-11-21,"Target rate",0
"4307",2015-11-22,"Real return benchmark bond yield, long term",0
"4308",2015-11-22,"Target rate",0
"4309",2015-11-23,"Real return benchmark bond yield, long term",0.7778
"4310",2015-11-23,"Target rate",0.5
"4311",2015-11-24,"Real return benchmark bond yield, long term",0.7679
"4312",2015-11-24,"Target rate",0.5
"4313",2015-11-25,"Real return benchmark bond yield, long term",0.7464
"4314",2015-11-25,"Target rate",0.5
"4315",2015-11-26,"Real return benchmark bond yield, long term",0.7388
"4316",2015-11-26,"Target rate",0.5
"4317",2015-11-27,"Real return benchmark bond yield, long term",0.7468
"4318",2015-11-27,"Target rate",0.5
"4319",2015-11-28,"Real return benchmark bond yield, long term",0
"4320",2015-11-28,"Target rate",0
"4321",2015-11-29,"Real return benchmark bond yield, long term",0
